,yearID,teamID,R_per_game,HR_per_game,W_percentage,BB_per_game,SB_per_game
308,1975,CHN,4.395061728,0.586419753,0.462962963,4.012345679,0.413580247
309,1975,CIN,5.185185185,0.765432099,0.666666667,4.265432099,1.037037037
310,1975,CLE,4.327044025,0.962264151,0.496855346,3.301886792,0.666666667
311,1975,DET,3.58490566,0.786163522,0.358490566,2.408805031,0.396226415
312,1975,HOU,4.098765432,0.518518519,0.395061728,3.228395062,0.820987654
313,1975,KCA,4.382716049,0.728395062,0.561728395,3.648148148,0.956790123
314,1975,LAN,4,0.728395062,0.543209877,3.771604938,0.851851852
315,1975,MIN,4.553459119,0.761006289,0.477987421,3.540880503,0.509433962
316,1975,ML4,4.166666667,0.901234568,0.419753086,3.413580247,0.401234568
317,1975,MON,3.709876543,0.604938272,0.462962963,3.574074074,0.666666667
318,1975,NYA,4.25625,0.6875,0.51875,3.0375,0.6375
319,1975,NYN,3.987654321,0.62345679,0.50617284,3.092592593,0.197530864
320,1975,OAK,4.679012346,0.932098765,0.604938272,3.759259259,1.12962963
321,1975,PHI,4.537037037,0.771604938,0.530864198,3.765432099,0.777777778
322,1975,PIT,4.422360248,0.857142857,0.571428571,2.906832298,0.304347826
323,1975,SDN,3.407407407,0.481481481,0.438271605,3.12345679,0.524691358
324,1975,SFN,4.093167702,0.52173913,0.49689441,3.751552795,0.614906832
325,1975,SLN,4.061349693,0.496932515,0.503067485,2.72392638,0.711656442
326,1975,TEX,4.407407407,0.827160494,0.487654321,3.783950617,0.62962963
327,1976,ATL,3.827160494,0.50617284,0.432098765,3.635802469,0.456790123
328,1976,BAL,3.820987654,0.734567901,0.543209877,3.203703704,0.925925926
329,1976,BOS,4.419753086,0.827160494,0.512345679,3.086419753,0.586419753
330,1976,CAL,3.395061728,0.388888889,0.469135802,3.296296296,0.777777778
331,1976,CHA,3.639751553,0.453416149,0.397515528,2.925465839,0.745341615
332,1976,CHN,3.771604938,0.648148148,0.462962963,3.024691358,0.456790123
333,1976,CIN,5.290123457,0.87037037,0.62962963,4.203703704,1.296296296
334,1976,CLE,3.867924528,0.534591195,0.509433962,3.012578616,0.471698113
335,1976,DET,3.782608696,0.627329193,0.459627329,2.795031056,0.664596273
336,1976,HOU,3.858024691,0.407407407,0.49382716,3.271604938,0.925925926
337,1976,KCA,4.401234568,0.401234568,0.555555556,2.987654321,1.345679012
338,1976,LAN,3.75308642,0.561728395,0.567901235,3,0.888888889
339,1976,MIN,4.586419753,0.5,0.524691358,3.395061728,0.901234568
340,1976,ML4,3.540372671,0.546583851,0.409937888,3.173913043,0.385093168
341,1976,MON,3.277777778,0.580246914,0.339506173,2.672839506,0.530864198
342,1976,NYA,4.591194969,0.754716981,0.610062893,2.955974843,1.025157233
343,1976,NYN,3.796296296,0.62962963,0.530864198,3.462962963,0.407407407
344,1976,OAK,4.260869565,0.701863354,0.540372671,3.677018634,2.118012422
345,1976,PHI,4.75308642,0.679012346,0.62345679,3.345679012,0.783950617
346,1976,PIT,4.37037037,0.679012346,0.567901235,2.672839506,0.802469136
347,1976,SDN,3.518518519,0.395061728,0.450617284,3.012345679,0.567901235
348,1976,SFN,3.672839506,0.524691358,0.456790123,3.197530864,0.543209877
349,1976,SLN,3.882716049,0.388888889,0.444444444,3.160493827,0.759259259
350,1976,TEX,3.802469136,0.49382716,0.469135802,3.50617284,0.537037037
351,1977,ATL,4.185185185,0.858024691,0.37654321,3.314814815,0.50617284
352,1977,BAL,4.465838509,0.919254658,0.602484472,3.47826087,0.559006211
353,1977,BOS,5.335403727,1.322981366,0.602484472,3.279503106,0.409937888
354,1977,CAL,4.166666667,0.808641975,0.456790123,3.345679012,0.981481481
355,1977,CHA,5.209876543,1.185185185,0.555555556,3.450617284,0.259259259
